"Filename","Game Title","Map #"
"royldlrb.bin","Royal Dealer",0
"royldlrc.bin","Royal Dealer",0
"safecrkr.bin","Safecracker",0
"santa.bin","Santa's Helper",0
"scar569a.bin","Scarfinger",2
"Scarfinger.bin","Scarfinger",2
"scobra.bin","Super Cobra",0
"scooby.bin","Scooby Doo Maze Chs",0
"seabattl.bin","Sea Battle",0
"secret6.bin","Song Plr: Sec. Agent",0
"sewersam.bin","Sewer Sam",0
"shark.bin","Shark! Shark!",0
"shrpshot.bin","Sharp Shot",0
"shuttle.bin","Space Shuttle?",1
"skiing2.bin","Super Pro Skiing",0
"skiing.bin","U.S. Ski Team Skiing",0
"slamdunk.bin","Super Pro Basketball",2
"slapshta.bin","Super Pro Hockey",0
"slapshtb.bin","Super Pro Hockey",0
"slrsailr.bin","Solar Sailer",0
"smasters.bin","Super Masters (prot)",0
"snafu.bin","Snafu",0
"SNDTEST.bin","C.M. Sound Test",3
"soccer2.bin","Super Soccer (unfin)",0
"soccer.bin","NASL Soccer",0
"songs.bin","Killer Songs",0
"spacec.bin","Space Cunt (Ver 2)",0
"spacehwk.bin","Space Hawk",0
"spcarmda.bin","Space Armada",0
"spcbtl_a.bin","Space Battle",0
"spcbtl_b.bin","Space Battle",0
"spcspart.bin","Space Spartans",0
"spftblla.bin","Super Pro Football",2
"spftbllb.bin","Super Pro Football",2
"spiker.bin","Spiker! SP Volleybll",2
"spina.bin","Zzzz! Spina the Bee",0
"stalker.bin","Night Stalker",0
"stampede.bin","Stampede",0
"starstrk.bin","Star Strike",0
"subhunt.bin","Sub Hunt",0
"swrdsrpn.bin","Swords and Serpents",0
"tagalong2v.bin","Tagalong Tod 2 Voice",0
"take3.bin","SPlr: Take On Me (3)",0
"take6.bin","SPlr: Take On Me (6)",0
"takeover.bin","Takeover",0
"tennis.bin","Tennis",0
"thinice.bin","Thin Ice",0
"thunder.bin","Thunder Castle",0
"too_sexy6.bin","SPlr: Too Sexy",0
"toosexy6.bin","SPlr: Too Sexy",0
"tower.bin","Tower of Doom",3
"tripchlb.bin","Triple Challenge",9
"triple.bin","Triple Action",0
"trondisc.bin","TRON Deadly Discs",0
"troptrbl.bin","Tropical Trouble",0
"truckin.bin","Truckin'",0
"turbo.bin","Turbo",0
"tutankhm.bin","Tutankhamun",0
"ussr6.bin","SPlr: Bk in the USSR",0
"utopia.bin","Utopia",0
"vectron.bin","Vectron",0
"venturea.bin","Venture",0
"ventureb.bin","Venture",0
"wcbasebl.bin","World Champ Baseball",0
"wcsoccer.bin","World Cup Soccer",0
"whtwater.bin","White Water!",0
"wordfun.bin","Electric Co Word Fun",0
"wrmwhmpr.bin","Worm Whomper",0
"wsbsball.bin","WSML Baseball",1
"zaxxon.bin","Zaxxon",0
